Parcela,Accipiter striatus,Amadonastur lacernulatus,Amaurospiza moesta,Amazona vinacea,Anthus hellmayri,Anumbius annumbi,Aramides saracura,Attila phoenicurus,Attila rufus,Automolus leucophthalmus,Basileuterus culicivorus,Batara cinerea,Brotogeris tirica,Bubulcus ibis,Buteo brachyurus,Cacicus chrysopterus,Campephilus robustus,Camptostoma obsoletum,Campylorhamphus falcularius,Caracara plancus,Cariama cristata,Carpornis cucullata,Castanozoster thoracicus,Certhiaxis cinnamomeus,Chaetura cinereiventris,Chaetura meridionalis,Chamaeza campanisona,Chamaeza ruficauda,Chionomesa fimbriata,Chiroxiphia caudata,Chlorostilbon lucidus,Chrysuronia versicolor,Cichlocolaptes leucophrus,Cinclodes pabsti,Clibanornis dendrocolaptoides,Cnemotriccus fuscatus,Colaptes campestris,Colaptes melanochloros,Columbina talpacoti,Conopophaga lineata,Cranioleuca obsoleta,Cryptopezus nattereri,Crypturellus obsoletus,Crypturellus tataupa,Cyanocorax caeruleus,Cyclarhis gujanensis,Dacnis cayana,Dendrocolaptes platyrostris,Dendroma rufa,Donacospiza albifrons,Drymophila malura,Drymophila rubricollis,Dryocopus lineatus,Dysithamnus mentalis,Elaenia chilensis,Elaenia flavogaster,Elaenia mesoleuca,Elaenia parvirostris,Eleoscytalopus indigoticus,Emberizoides ypiranganus,Embernagra platensis,Euphonia chlorotica,Euphonia violacea,Falco sparverius,Forpus xanthopterygius,Furnarius rufus,Geothlypis aequinoctialis,Geotrygon montana,Gnorimopsar chopi,Grallaria varia,Habia rubica,Heliobletus contaminatus,Heliodoxa rubricauda,Hemitriccus obsoletus,Herpsilochmus rufimarginatus,Heteroxolmis dominicanus,Hylophilus poicilotis,Hypoedaleus guttatus,Ilicura militaris,Knipolegus cyanirostris,Knipolegus lophotes,Lathrotriccus euleri,Legatus leucophaius,Lepidocolaptes falcinellus,Leptasthenura setaria,Leptasthenura striolata,Leptopogon amaurocephalus,Leptotila rufaxilla,Leptotila verreauxi,Leucochloris albicollis,Lochmias nematura,Lurocalis semitorquatus,Mackenziaena leachii,Megarynchus pitangua,Melanerpes flavifrons,Micrastur ruficollis,Microspingus cabanisi,Milvago chimachima,Milvago chimango,Mimus saturninus,Mionectes rufiventris,Myiarchus ferox,Myiarchus swainsoni,Myiodynastes maculatus,Myiopagis caniceps,Myiopagis viridicata,Myiophobus fasciatus,Myiothlypis leucoblephara,Myiozetetes similis,Myrmoderus squamosus,Nothura maculosa,Nyctibius griseus,Odontophorus capueira,Pachyramphus castaneus,Pachyramphus polychopterus,Parabuteo leucorrhous,Patagioenas picazuro,Patagioenas plumbea,Penelope obscura,Phaethornis eurynome,Philydor atricapillus,Phimosus infuscatus,Phyllomyias fasciatus,Phyllomyias virescens,Phylloscartes difficilis,Phylloscartes ventralis,Piaya cayana,Piculus aurulentus,Picumnus nebulosus,Picumnus temminckii,Pionopsitta pileata,Pionus maximiliani,Pipraeidea melanonota,Piranga flava,Pitangus sulphuratus,Platyrinchus mystaceus,Poecilotriccus plumbeiceps,Polioptila dumicola,Poospiza nigrorufa,Procnias nudicollis,Progne chalybea,Pseudoleistes guirahuro,Psittacara leucophthalmus,Pulsatrix koeniswaldiana,Pygochelidon cyanoleuca,Pyriglena leucoptera,Pyrrhura frontalis,Ramphastos dicolorus,Ramphastos vitellinus,Rhopias gularis,Rhynchotus rufescens,Riparia riparia,Rupornis magnirostris,Saltator fuliginosus,Saltator maxillosus,Saltator similis,Satrapa icterophrys,Schiffornis virescens,Sclerurus scansor,Scytalopus pachecoi,Scytalopus speluncae,Selenidera maculirostris,Serpophaga subcristata,Setophaga pitiayumi,Sicalis flaveola,Sicalis luteola,Sirystes sibilator,Sittasomus griseicapillus,Spinus magellanicus,Sporophila caerulescens,Sporophila frontalis,Sporophila melanogaster,Stephanophorus diadematus,Stephanoxis loddigesii,Stilpnia preciosa,Streptoprocne zonaris,Strix hylophila,Synallaxis cinerascens,Synallaxis ruficapilla,Synallaxis spixi,Syndactyla rufosuperciliata,Tachycineta leucorrhoa,Tachyphonus coronatus,Tangara desmaresti,Tangara seledon,Thalurania glaucopis,Thamnophilus caerulescens,Thamnophilus ruficapillus,Theristicus caudatus,Thlypopsis pyrrhocoma,Thraupis cyanoptera,Thraupis palmarum,Thraupis sayaca,Tinamus solitarius,Tityra cayana,Todirostrum cinereum,Tolmomyias sulphurescens,Troglodytes musculus,Trogon chrysochloros,Trogon surrucura,Turdus albicollis,Turdus amaurochalinus,Turdus flavipes,Turdus leucomelas,Turdus rufiventris,Turdus subalaris,Tyranniscus burmeisteri,Tyrannus melancholicus,Tyrannus savana,Tyto furcata,Vanellus chilensis,Veniliornis spilogaster,Vireo chivi,Volatinia jacarina,Xenops minutus,Xenops rutilans,Xiphocolaptes albicollis,Xiphorhynchus fuscus,Zonotrichia capensis
M01T03,,,,,,,2,,,,5,,,,,4,,4,,,,,,,,,,3,,,,,,,,,,,,,4,,6,,4,6,,,,,4,,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,,1,,2,8,,,,,2,,,,,,,2,,,,,,,,,,,13,,,,,,,,,2,,,,,,,,,5,,,,,,3,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,4,,,6,,,,7,,,,,,,,,,,,,1,,1,,,,4,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,
M01T04,,,,,,,,,,,2,3,,,,2,,1,,,,,,,,,,8,,,2,,,,1,,,,,1,3,1,3,,2,10,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,8,,,1,,,,,1,,,2,6,,,,,,1,,,,,16,,,,,,,,,2,1,,,,,,,,4,,,,,,2,,,,,1,,,,,,,,,,1,,,,,,,,3,1,,,,,8,,,4,,,,3,,,,,3,,1,,,1,,,5,,1,,,,12,,,,,,,,,,,,,,,,,,1,4,,,,,,1,5,,,,,,
M01T05,,,,,,,,,,,1,,,,,12,,2,,,,,,,,,,4,,,1,,,,,,,,,4,1,,6,,14,6,,,,,2,,2,,,,6,,,,,,,,,,2,,,,,,,,,,,,,1,,,,3,12,2,,1,4,,,,,,,2,13,,,,,,1,,,,,14,,,,,,,,,2,,1,,,,,,,3,,,,,,11,,,,,,1,,,,,,,,,5,,,,,,,,3,4,,,,,2,,2,5,,,,4,,,,1,1,,,,,,,5,,,,,,,3,1,,,,,,,,,,,,,,,,,2,1,,,,,,,4,,,,,,4
M01T07,,,,,,,,,,,1,,,,,1,,1,,,,,1,,,,,2,,,1,,,,,,,,,,2,,,,9,2,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,14,1,,,,,,,,,,3,9,,,,,,1,,,,,19,,,,,,,,,2,,2,,,,,,1,3,,,,,,4,,,,,,,,,,,,,,,4,,,,,,,,,,,,,1,1,,,,,,,2,1,,,,6,1,,,,2,,2,1,,,,,,7,1,,,,,,,,,,,,,,,,,1,3,,,,,,,5,,,,,,
M01T08,,,,,,,,,,,2,,,,,4,,2,,,,,1,,,,,5,,,,,,,,,,,,,3,,6,,,5,,,,,,,1,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,,,,,,,1,,,2,12,,,,,,,,,,2,12,,,,,,,1,,2,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,4,,,3,,,,5,,,,,4,,,,,,,,2,,,,,,5,1,,,,,,,,,,,,,,,,,4,,,,,,,1,2,,,,,,1
M01T09,,,,,,,4,,,,,,,,,5,,2,,,,,,,,,,2,,,1,,,,,,,,,,,,4,,5,2,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,,,,,,,,,,,4,,,,,,,,,,,10,,,,,,,,,1,,2,,,,,,1,1,,,,,,1,,1,,,,,,,,,,,,,3,,,,,,,,1,,,,,,1,,1,1,,,,1,3,,,,1,,,,,,,4,,,1,,,,8,,,,,,,,,,1,1,,,,,,,,,,,,,,2,,,,,,,6
M02R01,,,,,,,,,,,1,1,,,,3,,,,,,,,,,,,1,,,,,,,3,,,,,,5,,,,,2,,,,,2,,1,,,,2,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,5,,,3,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,1,1,,,,,,1
M02T02,,,,,,,,,,,,1,,,,,,4,,,,,,,,,,5,,,,,,,,,,,,1,,6,3,,,4,,,,,2,,,,,,6,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,2,,,,1,,,,,,,1,5,,,,,,,,,,2,12,,,,,,,,,2,2,,,,,,,,5,,,,,,,1,,,,1,,,1,,,,,,,2,,,,,,,,,,,,,,4,,,,,,,1,,,,,,,1,,,,,,3,,,,,1,6,,,,,,,,,,1,,,,,,,1,1,6,,,,,,1,,,,,,,
M02T04,,,,,,,,,,,,1,,,,3,,,,,,,,,,,,4,,,,,,,3,,,,,,6,,3,,,2,,,,,,,,,,,4,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,1,,,,,,2,,1,,,2,5,,,,,,,,,,1,6,,,,,,,,,2,1,,,,,,,1,2,,,,,,,,,,,1,,,,,,,,1,,10,,,,,,,,,,,,,,6,,,,,,,1,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,2,7,,,,,,,2,,,,,,
M02T05,,,,,,,1,,,,1,,,,,3,3,2,,,,,,,,,,7,,,,,,,1,,,,,,4,4,2,1,,3,,,,,,,,,,,10,,,,,,1,,,,,,,,,,,,,,1,,,,,,,2,1,2,,,,,1,,,,,,2,,,,,,,,,,,4,,,,,,,,,2,1,,,,,,,,4,,,1,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,1,,,,,,,,,,,,,1,,1,,3,,1,,,,4,2,,,,,,,,,,,,,,,1,1,1,18,,,,,,2,2,,,,,,
M02T06,,,,,,,,,,,7,,,,,6,,1,,,,,1,,,,,1,,,,,,,,,,,,,1,,1,,,10,,,,,1,1,,,,,7,,,,,,,,,,,,,,,2,,,,,2,,,,,1,,4,3,,,,,,,,6,,,,4,,,,,,,,,,,16,,,,,,,,,2,8,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,9,1,,,,,,,3,1,,,,,3,,,2,,,,5,,,,,,,,,,1,,,1,,,,,1,6,,,,,,,,,,,,,,1,,,,,9,,,,,,2,2,,,,,,
Área 02,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,9,,,,,,,1,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,4,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,,,,1,,,3,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,8
Área 03,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,4,,,,1,,,,16,2,,,,,,,,,2,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,3,7,,,,,2,,,,,,4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,1,,,3,,,,,,2,,,,,,,,,,5,,,,,1,,,1,2,,,,,,,,,1,7,,,,,,,,2,,,,,,,,,,2,,,,,,,1,,,4,,,,,,2,,,,,11
Área 04,,,,,,,,,,,,,,,,1,,,,2,,,,,13,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,2,1,,3,1,,,,,,1,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,7,,,,,,,,1,,1,1,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,2,,3,,,3,,,,,,2,,,,2,,,,5,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
Área 05,,,,,,,3,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,1,,,,2,,,,1,4,,,,,,,,,,,5,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,10,,,,,,,,,,,3,,,,,,,,,3,,,,,,,,,3,,,,,,8,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,2,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,12
Área 09,3,,,,,,,,,,1,,,,,3,,9,,,,,4,,,,,,,,2,,,1,,,4,,,,3,,,,1,4,,,,,1,,1,,,,6,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,5,5,,,,,,,,,,,5,,,,,,1,,,,,5,,,,,,,,,,,,,,,,,,5,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,1,4,,2,1,,1,,,,1,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,11
Área 13,,,,,1,,,,,,,,,,,4,,1,,,,,,,5,2,,,,,,,,1,,1,1,,,,,,,,4,3,,,,,,,,,,,1,,,3,1,,,,,,5,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,4,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,18,,,,3,,,,,,,,,,6,,4,,,,,,,,,,,,,,,,,9,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,9
Área 15,,,,,,,2,,,,1,,,,,1,,3,,,,,2,,,,,2,,,,,,,3,,,,,,1,2,2,,,3,,,,,,,,,,,5,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,,,1,,,,,,,,7,,,,,,,,,,,4,,,,,,,,,8,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,,,,,1,,,,,4,,1,,,,,,,,,,6,,,,,,,1,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,4
Área 16,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,9,4,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,4,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
M01T02,2,,,,,,,,,,1,,,,,1,,5,,,,,2,,,,,5,,,3,,,,,,,,,,1,,5,,7,4,,,,,1,,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,2,,,8,1,,,,,1,,2,,,,8,2,,,,,1,,,,1,11,,,,,,,,,2,,,,,,,,,3,,,,,,6,,,,,2,,1,,,,,,,,4,,,,,,1,,,5,,,,,4,,,1,,,,2,,,,,6,,,,,,,1,1,,,,,,3,2,,,,,,,,,,,,,,,,,2,,,,,,,,3,,,,,,8
M01T06,,,,,,,,,,,,,,,,1,,,,1,2,,,,23,,,,,,1,,,,,,1,,,,2,,,,10,4,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,,,,,,,1,,,,6,1,1,,,,1,,,,,3,,,,,,,,,,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,3,,,2,,,,,11,4,,5,3,,,,,,,4,,,,,,,1,1,,,,,,,,,,1,,,,,,,4,,,1,,,,,2,,,,,,27
