Especie,Campo,Floresta Ombrófila Densa,Floresta Ombrófila Mista,Vassoural
Thraupis sayaca,1,1,,
Tinamus solitarius,,22,,
Tityra cayana,,1,,
Tolmomyias sulphurescens,,19,3,
Troglodytes musculus,3,2,2,4
Trogon chrysochloros,,5,,
Trogon surrucura,,6,1,
Turdus albicollis,,41,1,
Turdus amaurochalinus,,1,,
Turdus flavipes,,21,2,
Turdus leucomelas,,6,2,
Turdus rufiventris,4,6,20,7
Turdus subalaris,,1,57,
Tyranniscus burmeisteri,,1,,
Tyrannus melancholicus,11,3,,6
Tyrannus savana,1,,,
Tyto furcata,,,1,
Vanellus chilensis,14,6,,
Veniliornis spilogaster,,10,12,3
Vireo chivi,2,30,40,5
Volatinia jacarina,,,,3
Xenops rutilans,,2,,
Xiphocolaptes albicollis,,1,,
Xiphorhynchus fuscus,,46,,
Zonotrichia capensis,58,2,30,102
